network, alt, lat, lon, threshold, station
SPLMA, 808.80, -23.4877967, -46.8316478, -75,  A
SPLMA, 783.80, -23.7022186, -46.8251392, -85,  B
SPLMA, 825.30, -23.6507108, -46.6218817, -75,  C
SPLMA, 828.30, -23.7257086, -46.5795603, -70,  D
SPLMA, 805.60, -23.5615964, -46.7350819, -75,  E
SPLMA, 750.30, -23.5241736, -46.6218442, -70,  F
SPLMA, 823.40, -23.7078239, -46.4100264, -75,  G
SPLMA, 842.24, -23.5766592, -46.4592950, -85,  H
SPLMA, 760.90, -23.4818842, -46.5005947, -75,  J
SPLMA, 765.42, -23.5137581, -46.1556681, -80,  K
SPLMA, 749.35, -23.5359581, -46.3274372, -70,  L
SPLMA, 841.61, -23.3748692, -46.3502872, -90,  M
